,Rank,movie_title,year,star_cast,Rating,votes,link
21,22,Dangal,2016,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar",8.300769142960622,166591,https://www.imdb.com/title/tt5074352/
22,23,Raatchasan,2018,"Ram Kumar (dir.), Vishnu Vishal, Amala Paul",8.300417867485987,32095,https://www.imdb.com/title/tt7060344/
23,24,Asuran,2019,"Vetrimaaran (dir.), Dhanush, Manju Warrier",8.299821164938026,17962,https://www.imdb.com/title/tt9477520/
24,25,Kaithi,2019,"Lokesh Kanagaraj (dir.), Karthi, Narain",8.294785161416218,16175,https://www.imdb.com/title/tt9900782/
25,26,Devasuram,1993,"I.V. Sasi (dir.), Mohanlal, Revathi",8.28966414390202,5167,https://www.imdb.com/title/tt0291855/
26,27,Aparajito,1956,"Satyajit Ray (dir.), Pinaki Sengupta, Smaran Ghosal",8.281589993277628,12557,https://www.imdb.com/title/tt0048956/
27,28,Jaane Bhi Do Yaaro,1983,"Kundan Shah (dir.), Naseeruddin Shah, Ravi Baswani",8.274833134599413,13510,https://www.imdb.com/title/tt0085743/
28,29,Pyaasa,1957,"Guru Dutt (dir.), Guru Dutt, Waheeda Rehman",8.26428861412561,5876,https://www.imdb.com/title/tt0050870/
29,30,Peranbu,2018,"Ram (dir.), Mammootty, Sadhana",8.26411137835771,13857,https://www.imdb.com/title/tt7738784/
30,31,Vada Chennai,2018,"Vetrimaaran (dir.), Dhanush, Ameer Sultan",8.259278078198394,13494,https://www.imdb.com/title/tt5959980/
31,32,Guide,1965,"Vijay Anand (dir.), Dev Anand, Waheeda Rehman",8.257093597606518,7656,https://www.imdb.com/title/tt0059246/
32,33,Thani Oruvan,2015,"Mohan Raja (dir.), Jayam Ravi, Arvind Swamy",8.252283398494288,17905,https://www.imdb.com/title/tt4987556/
33,34,A Peck on the Cheek,2002,"Mani Ratnam (dir.), Madhavan, Simran",8.246992282277525,7860,https://www.imdb.com/title/tt0312859/
